,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,Localidades
417821,3.0,2.0,2.0,92.0,75.0,275000.0,3,6
417894,3.0,2.0,1.0,82.0,68.0,165000.0,3,18
417898,3.0,2.0,1.0,74.0,74.0,175000.0,3,12
417909,3.0,2.0,2.0,150.0,150.0,215000.0,3,44
417910,3.0,2.0,1.0,79.0,73.0,109000.0,3,45
417919,3.0,3.0,2.0,90.0,90.0,248000.0,3,55
417920,3.0,2.0,2.0,131.0,97.0,210000.0,3,55
417921,3.0,2.0,1.0,74.0,57.0,199000.0,3,55
417927,3.0,2.0,1.0,106.0,80.0,130000.0,3,29
417928,3.0,2.0,1.0,63.0,48.0,127900.0,3,53
418013,3.0,2.0,2.0,78.0,58.0,130000.0,1,0
418025,3.0,2.0,1.0,168.0,110.0,180000.0,1,33
418485,3.0,2.0,1.0,97.0,97.0,129000.0,0,25
418507,3.0,2.0,1.0,64.0,60.0,160000.0,0,17
418508,3.0,2.0,2.0,73.0,73.0,169000.0,0,17
418509,3.0,2.0,1.0,82.0,78.0,135000.0,0,17
418510,3.0,2.0,1.0,67.0,62.0,152500.0,0,17
418518,3.0,2.0,1.0,57.0,57.0,140000.0,0,24
418519,3.0,2.0,2.0,100.0,100.0,290000.0,0,24
418520,3.0,2.0,2.0,81.0,68.0,219500.0,0,2
418525,3.0,2.0,1.0,68.0,65.0,139000.0,0,2
418526,3.0,2.0,2.0,60.0,54.0,160000.0,0,2
418527,3.0,3.0,2.0,117.0,110.0,310000.0,0,2
418533,3.0,2.0,2.0,71.0,71.0,329000.0,0,26
418534,3.0,2.0,2.0,110.0,110.0,420000.0,0,26
418535,3.0,2.0,2.0,69.0,66.0,187000.0,0,26
418536,3.0,2.0,2.0,82.0,70.0,215000.0,0,26
418537,3.0,2.0,1.0,72.0,65.0,150000.0,0,26
418538,3.0,2.0,1.0,82.0,82.0,280000.0,0,26
418540,3.0,2.0,1.0,60.0,52.0,150000.0,0,26
418541,3.0,2.0,2.0,78.0,78.0,490000.0,0,26
418542,3.0,2.0,2.0,156.0,90.0,390000.0,0,26
418543,3.0,2.0,2.0,77.0,72.0,520000.0,0,26
418546,3.0,1.0,1.0,137.0,67.0,285000.0,0,26
418547,3.0,2.0,2.0,70.0,58.0,225000.0,0,26
418548,3.0,2.0,2.0,71.0,66.0,399000.0,0,26
418549,3.0,2.0,1.0,56.0,53.0,170000.0,0,26
418550,3.0,2.0,1.0,60.0,52.0,150000.0,0,26
418552,3.0,2.0,1.0,73.0,70.0,240000.0,0,26
418555,3.0,2.0,1.0,58.0,58.0,138000.0,0,26
418556,3.0,2.0,2.0,122.0,80.0,420000.0,0,26
418558,3.0,2.0,3.0,80.0,70.0,450000.0,0,26
418560,3.0,2.0,1.0,55.0,55.0,145000.0,0,26
418561,3.0,2.0,2.0,110.0,110.0,420000.0,0,26
418563,3.0,1.0,1.0,71.0,55.0,220000.0,0,26
418564,3.0,2.0,2.0,112.0,112.0,430000.0,0,26
418590,3.0,2.0,2.0,72.0,66.0,212200.0,0,4
418592,3.0,2.0,1.0,60.0,60.0,298000.0,0,6
418594,3.0,2.0,1.0,40.0,40.0,110000.0,0,6
418595,3.0,2.0,2.0,86.0,78.0,250000.0,0,6
418596,3.0,2.0,3.0,96.0,89.0,327000.0,0,6
418597,3.0,2.0,1.0,78.0,72.0,289000.0,0,6
418598,3.0,2.0,1.0,50.0,50.0,135000.0,0,6
418599,3.0,2.0,2.0,74.0,70.0,250000.0,0,6
418601,3.0,2.0,1.0,61.0,54.0,165000.0,0,6
418602,3.0,2.0,1.0,155.0,90.0,420000.0,0,6
418704,3.0,2.0,1.0,79.0,55.0,129000.0,0,18
418705,3.0,2.0,1.0,70.0,66.0,89900.0,0,18
418706,3.0,2.0,1.0,70.0,54.0,114999.0,0,18
418726,3.0,2.0,1.0,53.0,53.0,175000.0,0,35
418727,3.0,2.0,1.0,100.0,89.0,390000.0,0,35
418728,3.0,2.0,2.0,71.0,60.0,168000.0,0,35
418729,3.0,2.0,2.0,120.0,80.0,370000.0,0,35
418730,3.0,2.0,2.0,132.0,128.0,460000.0,0,35
418731,3.0,2.0,1.0,70.0,67.0,185000.0,0,35
418733,3.0,2.0,2.0,70.0,67.0,225000.0,0,9
418734,3.0,2.0,2.0,139.0,88.0,299000.0,0,9
418735,3.0,2.0,1.0,59.0,56.0,147000.0,0,9
418737,3.0,2.0,1.0,62.0,57.0,126000.0,0,9
418739,3.0,2.0,2.0,70.0,67.0,190000.0,0,9
418740,3.0,2.0,2.0,65.0,57.0,270000.0,0,9
418741,3.0,2.0,1.0,63.0,57.0,135000.0,0,9
418743,3.0,2.0,1.0,55.0,51.0,99000.0,0,9
418745,3.0,2.0,1.0,64.0,64.0,129000.0,0,9
418748,3.0,2.0,1.0,54.0,52.0,105000.0,0,40
418749,3.0,2.0,1.0,69.0,69.0,160000.0,0,40
418751,3.0,2.0,1.0,55.0,50.0,98000.0,0,40
418756,3.0,2.0,1.0,56.0,52.0,140000.0,0,14
418757,3.0,1.0,1.0,101.0,101.0,350000.0,0,14
418758,3.0,1.0,1.0,101.0,101.0,350000.0,0,14
418759,3.0,2.0,1.0,54.0,42.0,145000.0,0,14
418760,3.0,1.0,1.0,101.0,101.0,350000.0,0,14
418775,3.0,2.0,1.0,48.0,48.0,110887.0,0,41
418776,3.0,2.0,2.0,72.0,65.0,165000.0,0,48
418782,3.0,2.0,3.0,98.0,90.0,237000.0,0,5
418783,3.0,2.0,1.0,81.0,65.0,198000.0,0,5
418784,3.0,2.0,1.0,53.0,53.0,132000.0,0,5
418785,3.0,2.0,1.0,99.0,75.0,200000.0,0,5
418793,3.0,2.0,1.0,80.0,73.0,149000.0,0,39
418794,3.0,2.0,2.0,79.0,79.0,117500.0,0,39
418795,3.0,2.0,2.0,78.0,78.0,239000.0,0,44
418796,3.0,2.0,3.0,89.0,78.0,219000.0,0,44
418797,3.0,2.0,1.0,70.0,65.0,147000.0,0,44
418798,3.0,2.0,1.0,75.0,67.0,159000.0,0,44
418799,3.0,2.0,1.0,49.0,49.0,115000.0,0,44
418800,3.0,2.0,2.0,78.0,78.0,233000.0,0,44
418802,3.0,2.0,1.0,49.0,49.0,94999.0,0,44
418803,3.0,2.0,1.0,58.0,54.0,145000.0,0,44
418804,3.0,2.0,1.0,66.0,57.0,124000.0,0,44
418806,3.0,2.0,2.0,86.0,72.0,270000.0,0,45
418807,3.0,2.0,1.0,49.0,49.0,55000.0,0,47
418808,3.0,2.0,1.0,50.0,50.0,52000.0,0,47
418842,3.0,2.0,1.0,83.0,62.0,175000.0,0,55
418844,3.0,2.0,1.0,60.0,55.0,163900.0,0,55
418845,3.0,2.0,2.0,94.0,71.0,290000.0,0,55
418846,3.0,2.0,2.0,109.0,95.0,315000.0,0,55
418876,3.0,2.0,1.0,62.0,58.0,135000.0,0,56
418877,3.0,2.0,2.0,73.0,69.0,159500.0,0,56
418878,3.0,2.0,2.0,65.0,58.0,149000.0,0,28
418879,3.0,2.0,1.0,67.0,57.0,139000.0,0,28
418880,3.0,2.0,1.0,76.0,70.0,180000.0,0,50
418994,4.0,3.0,1.0,120.0,120.0,305000.0,3,26
418995,4.0,3.0,1.0,58.0,50.0,150000.0,3,26
418998,4.0,3.0,2.0,85.0,77.0,125000.0,3,18
419010,4.0,3.0,1.0,95.0,67.0,169000.0,3,42
419289,4.0,3.0,3.0,120.0,120.0,245000.0,1,47
419335,4.0,3.0,1.0,76.0,76.0,75000.0,0,7
419343,4.0,3.0,1.0,59.0,59.0,82000.0,0,17
419346,4.0,3.0,2.0,108.0,100.0,449800.0,0,24
419347,4.0,3.0,2.0,98.0,78.0,200000.0,0,2
419348,4.0,3.0,2.0,98.0,78.0,200000.0,0,2
419355,4.0,3.0,2.0,119.0,104.0,395000.0,0,26
419357,4.0,3.0,2.0,98.0,78.0,200000.0,0,26
419358,4.0,3.0,2.0,118.0,104.0,395000.0,0,26
419359,4.0,4.0,3.0,110.0,95.0,300000.0,0,26
419361,4.0,4.0,3.0,120.0,110.0,315000.0,0,26
419362,4.0,3.0,3.0,135.0,115.0,330000.0,0,26
419385,4.0,3.0,3.0,176.0,147.0,360000.0,0,6
419386,4.0,3.0,3.0,130.0,111.0,260000.0,0,6
419387,4.0,3.0,2.0,96.0,96.0,259000.0,0,6
419389,4.0,3.0,2.0,131.0,110.0,315480.0,0,6
419390,4.0,3.0,3.0,96.0,89.0,327000.0,0,6
419391,4.0,3.0,2.0,85.0,79.0,330000.0,0,6
419393,4.0,2.0,1.0,164.0,97.0,285000.0,0,6
419397,4.0,3.0,1.0,120.0,88.0,365000.0,0,6
419415,4.0,2.0,3.0,112.0,102.0,345000.0,0,35
419417,4.0,2.0,3.0,112.0,102.0,345000.0,0,35
419418,4.0,3.0,1.0,136.0,122.0,398000.0,0,35
419419,4.0,3.0,1.0,135.0,135.0,298000.0,0,35
419420,4.0,3.0,3.0,152.0,140.0,490000.0,0,35
419422,4.0,2.0,3.0,83.0,74.0,215000.0,0,35
419423,4.0,3.0,1.0,88.0,88.0,245000.0,0,35
419426,4.0,3.0,2.0,124.0,108.0,188000.0,0,3
419427,4.0,3.0,1.0,80.0,77.0,139900.0,0,3
419429,4.0,3.0,2.0,124.0,111.0,298000.0,0,3
419431,4.0,3.0,1.0,85.0,73.0,240000.0,0,9
419432,4.0,3.0,3.0,129.0,116.0,420000.0,0,9
419434,4.0,3.0,3.0,129.0,116.0,480000.0,0,9
419435,4.0,2.0,2.0,101.0,95.0,259000.0,0,9
419436,4.0,3.0,2.0,75.0,75.0,245000.0,0,9
419439,4.0,3.0,2.0,131.0,110.0,315480.0,0,12
419440,4.0,3.0,2.0,131.0,110.0,315480.0,0,14
419452,4.0,3.0,1.0,70.0,66.0,170000.0,0,5
419455,4.0,4.0,3.0,120.0,110.0,315000.0,0,5
419458,4.0,3.0,1.0,58.0,58.0,97000.0,0,39
419459,4.0,3.0,1.0,100.0,90.0,165000.0,0,44
419460,4.0,3.0,1.0,100.0,90.0,165000.0,0,44
419462,4.0,4.0,3.0,127.0,127.0,367000.0,0,44
419463,4.0,3.0,1.0,82.0,79.0,165000.0,0,44
419465,4.0,3.0,1.0,100.0,81.0,310000.0,0,45
419466,4.0,3.0,2.0,51.0,51.0,115500.0,0,45
419467,4.0,3.0,2.0,75.0,71.0,84900.0,0,16
419471,4.0,3.0,2.0,125.0,94.0,298000.0,0,49
419472,4.0,4.0,2.0,88.0,78.0,255000.0,0,55
419478,4.0,3.0,3.0,125.0,120.0,280000.0,0,31
419479,4.0,3.0,2.0,105.0,90.0,263000.0,0,50
419480,4.0,3.0,1.0,78.0,68.0,125000.0,0,46
419531,5.0,3.0,2.0,170.0,170.0,350000.0,3,6
419538,5.0,4.0,2.0,164.0,164.0,132000.0,3,44
419710,5.0,3.0,3.0,160.0,160.0,490000.0,0,26
419711,5.0,4.0,2.0,135.0,124.0,425000.0,0,26
419727,5.0,5.0,3.0,170.0,170.0,480000.0,0,35
419729,5.0,3.0,2.0,141.0,134.0,425000.0,0,35
419732,5.0,4.0,2.0,90.0,90.0,148000.0,0,22
419733,5.0,3.0,1.0,115.0,115.0,290000.0,0,5
419735,5.0,4.0,1.0,103.0,98.0,202000.0,0,39
